ID,Frase,Categoria
1,"O atacante marcou dois gols e levou o time à vitória por 3 a 1.",ESPORTE
2,"Pesquisadores descobriram uma nova espécie de anfíbio na Floresta Amazônica.",CIÊNCIA
3,"A nova coleção de verão traz estampas florais e tecidos leves em tons pastel.",MODA
4,"A nadadora brasileira quebrou o recorde sul-americano nos 200 metros livres.",ESPORTE
5,"O telescópio espacial registrou imagens inéditas de uma galáxia distante.",CIÊNCIA
6,"O desfile de abertura da semana de moda apresentou looks com alfaiataria oversized.",MODA
7,"O técnico mudou a tática no segundo tempo e o time virou o jogo.",ESPORTE
8,"Cientistas desenvolveram uma vacina experimental com resultados promissores em testes clínicos.",CIÊNCIA
9,"Jaquetas jeans voltaram com força e combinam com quase qualquer peça do guarda-roupa.",MODA
10,"A maratona de domingo reuniu mais de dez mil corredores no centro da cidade.",ESPORTE
11,"O estudo mostrou que a temperatura média dos oceanos aumentou nas últimas décadas.",CIÊNCIA
12,"A estilista lançou uma linha sustentável feita com algodão orgânico e fibras recicladas.",MODA
13,"O tenista venceu o torneio depois de uma final que durou quatro horas.",ESPORTE
14,"Físicos confirmaram a existência de uma partícula prevista pela teoria há décadas.",CIÊNCIA
15,"O vermelho vibrante será a cor tendência nas passarelas do próximo inverno.",MODA
16,"A seleção de vôlei garantiu vaga na semifinal com uma atuação impecável.",ESPORTE
17,"A equipe de biólogos sequenciou o genoma completo de uma planta rara do cerrado.",CIÊNCIA
18,"Saias plissadas e botas de cano alto dominaram os looks de rua da temporada.",MODA
19,"O piloto largou na pole position e liderou a corrida do início ao fim.",ESPORTE
20,"A sonda espacial coletou amostras do solo de um asteroide e enviou os dados à Terra.",CIÊNCIA
21,"A grife apresentou bolsas artesanais que misturam couro e crochê.",MODA
22,"O goleiro defendeu dois pênaltis e garantiu a classificação do clube.",ESPORTE
23,"Um novo material condutor pode tornar as baterias muito mais eficientes.",CIÊNCIA
24,"Os acessórios dourados continuam em alta e dão um toque sofisticado ao visual.",MODA
25,"A ginasta conquistou a medalha de ouro na final de solo.",ESPORTE
26,"Os astrônomos observaram um eclipse que ajudou a medir a atmosfera de um exoplaneta.",CIÊNCIA
27,"A modelo desfilou um vestido longo bordado com pedrarias e cauda de tule.",MODA
28,"O ciclista abriu vantagem na última subida e cruzou a linha de chegada sozinho.",ESPORTE
29,"O laboratório publicou uma pesquisa sobre como o sono influencia a memória.",CIÊNCIA
30,"O lookbook da marca aposta em peças básicas, cortes retos e tons neutros.",MODA
