ID,Frase
1,"Estou super feliz com o resultado da minha apresentação hoje!"
2,"Fiquei decepcionado porque o voo foi cancelado sem aviso."
3,"A reunião com o cliente está marcada para as 10h de amanhã."
4,"Adorei o restaurante novo; a comida estava deliciosa e o atendimento foi excelente."
5,"Estou cansado de esperar uma resposta que nunca chega."
6,"O documento foi salvo na pasta compartilhada da equipe."
7,"Que orgulho ver meu irmão se formando depois de tanto esforço!"
8,"Não gostei do filme; a história era confusa e muito longa."
9,"O ônibus passa a cada vinte minutos neste horário."
10,"Recebi uma notícia maravilhosa e mal consigo conter a alegria."
11,"Estou irritado com o barulho dos vizinhos que não me deixa dormir."
12,"A atualização do sistema será feita durante o fim de semana."
13,"Foi uma experiência incrível viajar com meus amigos de infância."
14,"Me sinto sozinho desde que mudei de cidade."
15,"O treino de hoje começou às sete e terminou às oito."
16,"Estou ansioso para o resultado da entrevista de emprego."
17,"O atendimento do suporte foi péssimo e ninguém resolveu meu problema."
18,"Parabéns pela promoção, você merece muito essa conquista!"
19,"A loja fecha às dezoito horas de segunda a sexta."
20,"Estou muito satisfeito com a qualidade do produto que comprei."
21,"Perdi meu celular no metrô e agora estou desesperado."
22,"Choveu bastante durante a tarde, mas o tempo melhorou à noite."
23,"Que dia maravilhoso para passear no parque com a família!"
24,"A entrega atrasou de novo e ninguém me deu uma explicação."
25,"O professor explicou o conteúdo da prova na última aula."
26,"Agradeço de coração por todo o carinho e a ajuda que recebi."
27,"Fiquei chateado com a forma como fui tratado na reunião."
